 Parameters used:

First geneneration spectra extracted for
excitation energies between 10284.-   24. keV
corresponding to y-channels   171 -    0
 Number of spectra=  172
 Ax0 =    23.5 Ax1 =    60.0 Ay0 =    23.5 Ay1 =    60.0
 AxW0=     0.0 AxW1=     0.0 AyW0=     0.0 AyW1=     0.0
 Weighting: 0 Level density parameter a=
 Normalization= 2 Stat/Tot= 2 Areacorr.= 1
 Experimental lower gamma threshold:       50.0 keV (ch=   0)
 Upper threshold for statistical gammas:   50.0 keV (ch=   0)
 Average energy entry point in g.s. band:  300.(stat)     0.(tot)
 Sliding threshold given by Ex*R, with R = 0.30
 Multiplicities: MA = Af/Afg and ME = (Ex-ExEntry)/<Eg>

Iteration number:   1
Y-ch   Ex        Af        Ag       Afg  Mult    Sing Alpha MATot METot MASta MESta
143  8604.    18103.      233.    17870. 1.63       0  1.15  1.01  1.63  1.01  1.58
142  8544.    21644.      257.    21387. 1.76       0  1.15  1.01  1.76  1.01  1.69
141  8484.    21358.      188.    21170. 1.83       0  1.15  1.01  1.83  1.01  1.77
140  8424.    17172.       73.    17099. 1.95       0  1.15  1.00  1.95  1.00  1.88
139  8364.    12331.       18.    12313. 2.04       0  1.15  1.00  2.04  1.00  1.97
138  8304.     8394.        0.     8394. 2.05       0  1.15  1.00  2.05  1.00  1.97
137  8244.     4246.        0.     4246. 2.43       0  1.15  1.00  2.43  1.00  2.34
136  8184.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
135  8124.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
134  8064.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
133  8004.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
132  7944.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
131  7884.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
130  7824.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
129  7764.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
128  7704.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
127  7644.        0.        0.        0. 0.00       0  1.15  0.00  0.00  0.00  0.00
